"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.038691746E2,6.506223471E1,2.547212238E1,1.983243419E1,1.542691469E0,1.905643616E2,1.981623888E0,3.000000000E0
2.048691596E2,6.506221829E1,2.547212389E1,1.979921676E1,1.558805585E0,1.870240173E2,1.937914133E0,3.000000000E0
2.058691596E2,6.506220651E1,2.547212202E1,1.963779876E1,1.534281254E0,1.847164154E2,1.946931362E0,3.000000000E0
2.068693396E2,6.506219366E1,2.547211593E1,1.956660229E1,1.523644209E0,1.819065704E2,1.953169227E0,3.000000000E0
2.078692266E2,6.506218134E1,2.547211801E1,1.931417260E1,1.508054972E0,1.845116730E2,1.969612956E0,3.000000000E0
2.088692696E2,6.506217028E1,2.547212606E1,1.924685812E1,1.487143517E0,1.806403961E2,1.923733592E0,3.000000000E0
2.098696316E2,6.506215858E1,2.547213166E1,1.941939344E1,1.471823096E0,1.798439636E2,1.907409310E0,3.000000000E0
2.108693306E2,6.506214630E1,2.547213329E1,1.957596530E1,1.461777091E0,1.792911072E2,1.940266848E0,3.000000000E0
2.118695736E2,6.506213467E1,2.547213642E1,1.960433598E1,1.448461294E0,1.820083160E2,2.021144867E0,3.000000000E0
2.128693176E2,6.506212078E1,2.547213815E1,1.941900164E1,1.455154896E0,1.825693970E2,2.037107944E0,3.000000000E0
2.138695156E2,6.506210202E1,2.547214622E1,1.934708587E1,1.504427433E0,1.816816864E2,2.038574219E0,3.000000000E0
2.148693686E2,6.506208753E1,2.547214300E1,1.960504432E1,1.510804653E0,1.787991333E2,2.014194965E0,3.000000000E0
2.158694186E2,6.506207454E1,2.547214048E1,1.950786946E1,1.502766848E0,1.800482941E2,2.000266075E0,3.000000000E0
2.168694426E2,6.506206235E1,2.547213558E1,1.954541328E1,1.490472555E0,1.801387634E2,2.008354664E0,3.000000000E0
2.178696206E2,6.506204878E1,2.547213226E1,1.944750632E1,1.490556598E0,1.839583282E2,1.993047595E0,3.000000000E0
2.188697406E2,6.506203372E1,2.547213315E1,1.945245417E1,1.501954079E0,1.820919800E2,1.997399092E0,3.000000000E0
2.198694356E2,6.506201709E1,2.547213416E1,1.941546120E1,1.524677038E0,1.816031799E2,1.965980768E0,3.000000000E0
2.208695176E2,6.506200183E1,2.547212652E1,1.939036168E1,1.537981153E0,1.838393707E2,2.012448788E0,3.000000000E0
2.218696376E2,6.506198729E1,2.547211806E1,1.947067167E1,1.547310114E0,1.868443909E2,2.018605232E0,3.000000000E0
2.228695136E2,6.506197341E1,2.547211358E1,1.941478645E1,1.550027370E0,1.915734558E2,2.017297983E0,3.000000000E0
2.238695776E2,6.506196010E1,2.547210917E1,1.931651313E1,1.546557903E0,1.906571350E2,2.022010565E0,3.000000000E0
2.248695956E2,6.506194859E1,2.547210788E1,1.918415486E1,1.525622129E0,1.870418549E2,2.048520803E0,3.000000000E0
2.258696196E2,6.506193237E1,2.547211384E1,1.920541334E1,1.545332193E0,1.838464661E2,1.995491028E0,3.000000000E0
2.268698586E2,6.506191875E1,2.547211509E1,1.915118070E1,1.540266752E0,1.871977386E2,1.986870289E0,3.000000000E0
2.278696656E2,6.506190570E1,2.547211725E1,1.944046768E1,1.531082034E0,1.855262909E2,1.996405840E0,3.000000000E0
2.288699036E2,6.506189044E1,2.547212422E1,1.943052044E1,1.543188572E0,1.851420593E2,1.983534813E0,3.000000000E0
2.298696906E2,6.506187426E1,2.547212452E1,1.940236184E1,1.559212208E0,1.826687622E2,1.942559481E0,3.000000000E0
2.308698566E2,6.506186073E1,2.547212686E1,1.934226448E1,1.551641703E0,1.809072113E2,1.897994280E0,3.000000000E0
2.318697346E2,6.506184904E1,2.547213020E1,1.957557779E1,1.530247808E0,1.789279175E2,1.889116645E0,3.000000000E0
2.328697756E2,6.506183565E1,2.547212775E1,1.983569203E1,1.525671005E0,1.829873505E2,1.905318499E0,3.000000000E0
2.338697856E2,6.506182245E1,2.547212296E1,2.019957683E1,1.521088600E0,1.811153870E2,1.926174641E0,3.000000000E0
2.348701416E2,6.506181079E1,2.547211724E1,2.055124039E1,1.504306078E0,1.805106354E2,1.956624985E0,3.000000000E0
2.358698176E2,6.506179842E1,2.547212319E1,2.074237992E1,1.494446278E0,1.790452271E2,1.980326414E0,3.000000000E0
2.368700766E2,6.506178512E1,2.547212514E1,2.077572156E1,1.491078854E0,1.808420258E2,1.993275881E0,3.000000000E0
2.378698296E2,6.506177264E1,2.547212488E1,2.101420210E1,1.481215119E0,1.831578674E2,1.956150532E0,3.000000000E0
2.388698666E2,6.506175677E1,2.547212062E1,2.113878755E1,1.501059771E0,1.854914703E2,1.936556339E0,3.000000000E0
2.398698756E2,6.506174050E1,2.547212127E1,2.079622451E1,1.521190405E0,1.847742157E2,1.938923478E0,3.000000000E0
2.408698916E2,6.506172812E1,2.547212224E1,2.063211125E1,1.506988406E0,1.847090454E2,1.926610470E0,3.000000000E0
2.418700576E2,6.506171595E1,2.547212537E1,2.039197523E1,1.493037224E0,1.861125336E2,1.931545615E0,3.000000000E0
2.428701116E2,6.506170204E1,2.547212413E1,2.028462098E1,1.495271206E0,1.868493958E2,1.914403796E0,3.000000000E0
2.438699896E2,6.506168906E1,2.547211912E1,2.019862080E1,1.491050601E0,1.865901337E2,1.897954464E0,3.000000000E0
2.448702626E2,6.506167252E1,2.547212052E1,2.001208544E1,1.514973283E0,1.850820770E2,1.900654435E0,3.000000000E0
2.458702106E2,6.506165762E1,2.547212317E1,2.001680215E1,1.522776365E0,1.883539581E2,1.909527063E0,3.000000000E0
2.468700556E2,6.506164211E1,2.547212804E1,1.991232105E1,1.536879539E0,1.871108398E2,1.907225490E0,3.000000000E0
2.478700336E2,6.506162272E1,2.547213155E1,1.958825633E1,1.581175089E0,1.825629120E2,1.900622249E0,3.000000000E0
2.488702606E2,6.506160442E1,2.547212709E1,1.940589728E1,1.612585306E0,1.816837006E2,1.889758229E0,3.000000000E0
2.498704426E2,6.506159147E1,2.547211996E1,1.934689596E1,1.598428488E0,1.828920593E2,1.910173178E0,3.000000000E0
2.508703586E2,6.506157789E1,2.547212233E1,1.927880493E1,1.588153243E0,1.792238007E2,1.905716300E0,3.000000000E0
2.518701546E2,6.506156617E1,2.547213041E1,1.904877916E1,1.566703320E0,1.778982391E2,1.912170410E0,3.000000000E0
2.528701416E2,6.506155298E1,2.547213640E1,1.886737519E1,1.557549596E0,1.791945953E2,1.909826756E0,3.000000000E0
2.538702066E2,6.506153723E1,2.547214393E1,1.876593945E1,1.570924282E0,1.816756134E2,1.885742068E0,3.000000000E0
2.548702216E2,6.506152350E1,2.547214372E1,1.854041691E1,1.562898040E0,1.815531311E2,1.903209329E0,3.000000000E0
2.558702116E2,6.506150993E1,2.547213468E1,1.846813551E1,1.558715582E0,1.805093384E2,1.905079007E0,3.000000000E0
2.568705186E2,6.506149561E1,2.547212515E1,1.849008105E1,1.562006474E0,1.794380646E2,1.906564951E0,3.000000000E0
2.578704176E2,6.506148321E1,2.547212050E1,1.843709967E1,1.545437217E0,1.782936096E2,1.907774210E0,3.000000000E0
2.588702806E2,6.506146995E1,2.547211678E1,1.839400049E1,1.537348270E0,1.794644318E2,1.944850445E0,3.000000000E0
2.598702926E2,6.506145557E1,2.547211317E1,1.850202467E1,1.538721204E0,1.805261383E2,1.979736686E0,3.000000000E0
2.608704786E2,6.506144168E1,2.547211051E1,1.853493861E1,1.536162853E0,1.812125702E2,1.975137949E0,3.000000000E0
2.618704886E2,6.506142715E1,2.547210823E1,1.855803727E1,1.539521575E0,1.897356110E2,1.963414669E0,3.000000000E0
2.628704166E2,6.506141030E1,2.547210340E1,1.866040335E1,1.562511325E0,1.957328491E2,1.928246737E0,3.000000000E0
2.638705166E2,6.506139715E1,2.547209075E1,1.887201131E1,1.561023712E0,2.083230133E2,1.896571398E0,3.000000000E0
2.648706846E2,6.506138630E1,2.547206166E1,1.920574731E1,1.578395605E0,2.256847382E2,1.918080568E0,3.000000000E0
2.658707366E2,6.506138285E1,2.547202529E1,1.927154999E1,1.588877559E0,2.457083435E2,1.997600317E0,3.000000000E0
2.668704796E2,6.506138076E1,2.547198683E1,1.931893321E1,1.603116512E0,2.571952515E2,1.988162041E0,3.000000000E0
2.678704426E2,6.506137832E1,2.547195350E1,1.944492685E1,1.597527266E0,2.642169189E2,2.000660181E0,3.000000000E0
2.688708046E2,6.506137517E1,2.547191951E1,1.934420926E1,1.596435905E0,2.621586914E2,1.963821650E0,3.000000000E0
2.698706596E2,6.506137238E1,2.547188324E1,1.953929281E1,1.605818510E0,2.632044067E2,1.921819448E0,3.000000000E0
2.708707306E2,6.506136929E1,2.547184989E1,1.968074218E1,1.605582833E0,2.642385864E2,1.927221775E0,3.000000000E0
2.718705426E2,6.506136452E1,2.547182195E1,1.983253174E1,1.590163589E0,2.635158081E2,1.887605190E0,3.000000000E0
2.728705626E2,6.506136030E1,2.547178515E1,1.987985535E1,1.601902127E0,2.661118469E2,1.914731979E0,3.000000000E0
2.738709006E2,6.506136087E1,2.547175495E1,1.995415532E1,1.583235264E0,2.623226318E2,1.961454630E0,3.000000000E0
2.748706076E2,6.506135893E1,2.547172378E1,2.034647583E1,1.571066380E0,2.581869507E2,1.982054830E0,3.000000000E0
2.758706526E2,6.506135637E1,2.547169278E1,2.061778647E1,1.562007070E0,2.600592651E2,1.990913630E0,3.000000000E0
2.768706406E2,6.506135601E1,2.547166278E1,2.069838680E1,1.548902750E0,2.634419250E2,2.042577028E0,3.000000000E0
2.778708076E2,6.506135215E1,2.547162758E1,2.085838579E1,1.560710192E0,2.645515137E2,2.013784170E0,3.000000000E0
2.788707016E2,6.506134944E1,2.547159092E1,2.096373514E1,1.574822187E0,2.645733643E2,2.075930595E0,3.000000000E0
2.798707156E2,6.506134691E1,2.547155808E1,2.117404763E1,1.575390100E0,2.620669250E2,2.093369246E0,3.000000000E0
2.808709326E2,6.506134852E1,2.547151988E1,2.138764600E1,1.593307972E0,2.655799255E2,2.115058899E0,3.000000000E0
2.818709786E2,6.506134620E1,2.547149140E1,2.152224726E1,1.574820399E0,2.658183899E2,2.134222269E0,3.000000000E0
2.828707976E2,6.506134333E1,2.547146730E1,2.183249734E1,1.542726755E0,2.625368042E2,2.129869699E0,3.000000000E0
2.838707796E2,6.506134102E1,2.547143506E1,2.206659794E1,1.540188789E0,2.566513367E2,2.127431393E0,3.000000000E0
2.848708276E2,6.506133989E1,2.547139845E1,2.210407683E1,1.552007437E0,2.596424561E2,2.150576115E0,3.000000000E0
2.858708676E2,6.506133694E1,2.547136295E1,2.199286969E1,1.562267065E0,2.597949219E2,2.106565952E0,3.000000000E0
2.868708696E2,6.506132670E1,2.547133048E1,2.178585148E1,1.586245894E0,2.586126709E2,2.049130917E0,3.000000000E0
2.878709086E2,6.506132485E1,2.547130001E1,2.187058752E1,1.574194193E0,2.614490356E2,1.978549480E0,3.000000000E0
2.888711976E2,6.506132525E1,2.547126575E1,2.171092058E1,1.575541973E0,2.603884277E2,2.031961918E0,3.000000000E0
2.898709526E2,6.506132786E1,2.547122793E1,2.133718449E1,1.590783238E0,2.591449585E2,2.055247545E0,3.000000000E0
2.908709656E2,6.506132678E1,2.547118617E1,2.112682444E1,1.615419984E0,2.589177246E2,1.996679664E0,3.000000000E0
2.918711266E2,6.506132521E1,2.547115632E1,2.100941931E1,1.595611930E0,2.609049072E2,2.002713442E0,3.000000000E0
2.928714076E2,6.506132199E1,2.547112858E1,2.102071775E1,1.573490620E0,2.646771851E2,1.998322248E0,3.000000000E0
2.938710356E2,6.506131943E1,2.547109815E1,2.107022877E1,1.562459826E0,2.650055542E2,1.985399246E0,3.000000000E0
2.948710316E2,6.506131984E1,2.547106422E1,2.090031778E1,1.563205481E0,2.662700806E2,2.026910305E0,3.000000000E0
2.958710456E2,6.506131902E1,2.547103332E1,2.085398380E1,1.552540183E0,2.676112061E2,2.023201704E0,3.000000000E0
2.968710706E2,6.506131551E1,2.547100093E1,2.100193639E1,1.552367687E0,2.660095520E2,1.963086247E0,3.000000000E0
2.978713196E2,6.506131092E1,2.547096779E1,2.103533523E1,1.558448195E0,2.638979797E2,1.970963478E0,3.000000000E0
2.988711086E2,6.506131368E1,2.547093590E1,2.085051607E1,1.555109024E0,2.649477844E2,1.992063046E0,3.000000000E0
2.998711136E2,6.506131349E1,2.547090860E1,2.066412320E1,1.532603025E0,2.649789429E2,1.988487244E0,3.000000000E0
3.008713456E2,6.506131268E1,2.547087966E1,2.036458157E1,1.518007874E0,2.647322693E2,2.002680779E0,3.000000000E0
3.018711606E2,6.506131237E1,2.547084128E1,2.021423734E1,1.538578033E0,2.648567505E2,1.993851185E0,3.000000000E0
3.028713726E2,6.506131316E1,2.547080558E1,1.999156550E1,1.547961235E0,2.639778137E2,1.990751505E0,3.000000000E0
3.038712226E2,6.506131034E1,2.547076671E1,1.974201483E1,1.569184184E0,2.618829651E2,1.957387090E0,3.000000000E0
3.048712926E2,6.506130355E1,2.547073256E1,1.971216868E1,1.582461834E0,2.605833740E2,1.926824331E0,3.000000000E0
3.058715576E2,6.506130357E1,2.547070331E1,1.958944704E1,1.565404177E0,2.590080566E2,1.987057447E0,3.000000000E0
3.068712986E2,6.506130035E1,2.547067300E1,1.963060583E1,1.557518840E0,2.613759766E2,1.990868926E0,3.000000000E0
3.078712866E2,6.506129615E1,2.547064096E1,1.972513849E1,1.557285309E0,2.651941528E2,2.019628048E0,3.000000000E0
3.088713116E2,6.506129285E1,2.547060999E1,1.998022957E1,1.550301909E0,2.654411011E2,1.978608012E0,3.000000000E0
3.098713486E2,6.506129239E1,2.547057972E1,2.009269694E1,1.538199186E0,2.661756287E2,1.952111721E0,3.000000000E0
3.108716106E2,6.506129208E1,2.547055246E1,1.999278477E1,1.517637849E0,2.644280701E2,1.962632895E0,3.000000000E0
3.118713886E2,6.506129133E1,2.547052771E1,1.994591776E1,1.492195606E0,2.643767700E2,2.053327084E0,3.000000000E0
3.128715886E2,6.506128511E1,2.547049364E1,1.994798995E1,1.514169931E0,2.635991516E2,1.995780587E0,3.000000000E0
3.138713856E2,6.506127918E1,2.547045247E1,2.016603961E1,1.557457209E0,2.583684692E2,2.008965015E0,3.000000000E0
3.148713976E2,6.506127324E1,2.547042260E1,2.018811678E1,1.559698939E0,2.539064636E2,2.082177401E0,3.000000000E0
3.158714576E2,6.506127507E1,2.547039486E1,1.976535458E1,1.541861057E0,2.491712036E2,2.085032940E0,3.000000000E0
3.168714706E2,6.506127032E1,2.547036227E1,1.944871750E1,1.547098160E0,2.452230225E2,2.153607368E0,3.000000000E0
3.178715286E2,6.506126388E1,2.547033247E1,1.913408580E1,1.547570705E0,2.471938324E2,2.142509460E0,3.000000000E0
3.188717336E2,6.506125245E1,2.547029830E1,1.903585119E1,1.581852555E0,2.436220856E2,2.172064304E0,3.000000000E0
3.198715256E2,6.506123963E1,2.547026871E1,1.897801257E1,1.607701302E0,2.343887939E2,2.158266306E0,3.000000000E0
3.208715226E2,6.506122872E1,2.547025467E1,1.888937135E1,1.584210992E0,2.193038635E2,2.134672403E0,3.000000000E0
3.218715856E2,6.506121999E1,2.547025263E1,1.878925431E1,1.531740189E0,2.123397827E2,2.143383503E0,3.000000000E0
3.228716016E2,6.506120960E1,2.547024702E1,1.880048937E1,1.500198960E0,2.115935516E2,2.159509420E0,3.000000000E0
3.238716286E2,6.506119577E1,2.547023706E1,1.879157571E1,1.504488587E0,2.080765686E2,2.154919863E0,3.000000000E0
3.248720636E2,6.506118344E1,2.547023070E1,1.867783316E1,1.493985772E0,2.035851898E2,2.003551960E0,3.000000000E0
3.258716896E2,6.506116864E1,2.547022744E1,1.872925372E1,1.504494548E0,1.960079193E2,2.042282104E0,3.000000000E0
3.268716916E2,6.506115609E1,2.547022505E1,1.889171817E1,1.496319294E0,1.945946198E2,2.023736954E0,3.000000000E0
3.278717116E2,6.506114336E1,2.547022769E1,1.898099760E1,1.491066217E0,1.885370941E2,1.990827441E0,3.000000000E0
3.288717156E2,6.506112962E1,2.547023077E1,1.904072269E1,1.494559050E0,1.849091187E2,2.009898424E0,3.000000000E0
3.298717446E2,6.506111434E1,2.547023363E1,1.908314752E1,1.510331154E0,1.830528564E2,2.010813951E0,3.000000000E0
3.308721396E2,6.506110113E1,2.547023434E1,1.908592989E1,1.506527424E0,1.759485474E2,2.093247890E0,3.000000000E0
3.318721546E2,6.506108762E1,2.547024083E1,1.911666026E1,1.507910848E0,1.714334717E2,2.107383251E0,3.000000000E0
3.328718996E2,6.506107337E1,2.547025019E1,1.915172535E1,1.517677188E0,1.708708649E2,2.105648994E0,3.000000000E0
3.338718726E2,6.506106048E1,2.547025802E1,1.913535970E1,1.513668060E0,1.700472717E2,2.109633923E0,3.000000000E0
3.348718576E2,6.506104617E1,2.547026755E1,1.911243515E1,1.522660494E0,1.636761475E2,2.111501217E0,3.000000000E0
3.358718876E2,6.506103219E1,2.547027875E1,1.901142056E1,1.529357314E0,1.677592468E2,2.122895718E0,3.000000000E0
3.368720786E2,6.506102186E1,2.547028150E1,1.916075271E1,1.499362946E0,1.676395721E2,2.134341002E0,3.000000000E0
3.378718806E2,6.506100914E1,2.547028314E1,1.912116214E1,1.491872549E0,1.696200562E2,2.051601410E0,3.000000000E0
3.388719426E2,6.506099484E1,2.547029105E1,1.900844354E1,1.501466036E0,1.722063751E2,2.045765877E0,3.000000000E0
3.398719516E2,6.506098043E1,2.547029786E1,1.881786606E1,1.509137154E0,1.721595154E2,2.017256975E0,3.000000000E0
3.408720826E2,6.506096962E1,2.547030265E1,1.883731985E1,1.485048652E0,1.726854248E2,2.009538651E0,3.000000000E0
3.418720326E2,6.506095347E1,2.547031309E1,1.905954502E1,1.511363387E0,1.734181824E2,1.956827641E0,3.000000000E0
3.428721896E2,6.506094030E1,2.547031916E1,1.916236781E1,1.507510900E0,1.710997620E2,1.941833138E0,3.000000000E0
3.438722156E2,6.506092866E1,2.547032409E1,1.934449631E1,1.492474198E0,1.755420685E2,1.948041916E0,3.000000000E0
3.448721126E2,6.506091534E1,2.547032589E1,1.937608607E1,1.491891265E0,1.801949310E2,1.930775881E0,3.000000000E0
3.458720856E2,6.506090054E1,2.547032250E1,1.926766618E1,1.505030513E0,1.814570312E2,2.002057552E0,3.000000000E0
3.468722846E2,6.506088416E1,2.547032351E1,1.921911729E1,1.529179573E0,1.798210754E2,2.036935806E0,3.000000000E0
3.478721356E2,6.506087128E1,2.547032131E1,1.944764273E1,1.520205498E0,1.780464172E2,2.033383369E0,3.000000000E0
3.488724516E2,6.506086027E1,2.547031588E1,1.971613388E1,1.496521711E0,1.779176788E2,2.050105095E0,3.000000000E0
3.498721986E2,6.506084901E1,2.547031315E1,1.970200900E1,1.475707889E0,1.831471558E2,2.064810753E0,3.000000000E0
3.508722146E2,6.506083688E1,2.547030498E1,1.952543151E1,1.468795419E0,1.965804443E2,1.997254372E0,3.000000000E0
3.518722426E2,6.506082752E1,2.547028335E1,1.955919648E1,1.467978716E0,2.121832275E2,2.020202637E0,3.000000000E0
3.528722606E2,6.506082135E1,2.547024899E1,1.959232854E1,1.488270283E0,2.379151611E2,1.997884274E0,3.000000000E0
3.538727176E2,6.506081801E1,2.547021574E1,1.969619924E1,1.496077538E0,2.586960754E2,1.995399237E0,3.000000000E0
3.548726576E2,6.506081888E1,2.547017907E1,1.991241923E1,1.512208343E0,2.681877747E2,1.987159014E0,3.000000000E0
3.558723296E2,6.506082041E1,2.547013639E1,1.992172009E1,1.548966885E0,2.653502502E2,1.978534222E0,3.000000000E0
3.568724856E2,6.506081990E1,2.547009561E1,1.980679716E1,1.574668288E0,2.658151855E2,1.967633963E0,3.000000000E0
3.578723656E2,6.506082165E1,2.547005593E1,1.971456420E1,1.594591141E0,2.676994019E2,1.959878206E0,3.000000000E0
3.588726686E2,6.506082377E1,2.547001890E1,1.961542583E1,1.603900433E0,2.724006042E2,1.955410957E0,3.000000000E0
3.598725766E2,6.506082201E1,2.546998311E1,1.948542724E1,1.609709501E0,2.747126465E2,1.954684734E0,3.000000000E0
3.608724146E2,6.506081940E1,2.546994877E1,1.918775471E1,1.611081004E0,2.747724304E2,1.959108710E0,3.000000000E0
3.618724446E2,6.506081881E1,2.546991704E1,1.911383416E1,1.601286173E0,2.765518494E2,1.957054496E0,3.000000000E0
3.628725896E2,6.506081654E1,2.546989119E1,1.905390607E1,1.574142218E0,2.749187622E2,1.921614408E0,3.000000000E0
3.638725996E2,6.506081659E1,2.546986541E1,1.899304841E1,1.548085928E0,2.708482666E2,1.932775736E0,3.000000000E0
3.648728116E2,6.506081509E1,2.546983026E1,1.899510792E1,1.557379603E0,2.681732178E2,1.923966169E0,3.000000000E0
3.658725486E2,6.506081499E1,2.546979625E1,1.899158387E1,1.559513211E0,2.727960510E2,1.905098915E0,3.000000000E0
3.668725486E2,6.506081417E1,2.546976560E1,1.879903845E1,1.548415065E0,2.737809448E2,1.937564611E0,3.000000000E0
3.678727696E2,6.506081285E1,2.546973692E1,1.859609206E1,1.531296492E0,2.745455933E2,1.942433953E0,3.000000000E0
3.688725936E2,6.506081523E1,2.546970379E1,1.846524116E1,1.532785892E0,2.710386658E2,1.983429909E0,3.000000000E0
3.698727776E2,6.506081436E1,2.546967498E1,1.854186413E1,1.518310785E0,2.681297607E2,2.006141424E0,3.000000000E0
3.708726056E2,6.506081416E1,2.546963856E1,1.846355857E1,1.533376217E0,2.652118530E2,2.022947550E0,3.000000000E0
3.718726396E2,6.506081376E1,2.546960339E1,1.842464969E1,1.542887449E0,2.665487671E2,2.032945156E0,3.000000000E0
3.728726956E2,6.506081374E1,2.546957589E1,1.818975175E1,1.523793101E0,2.677883301E2,2.025691748E0,3.000000000E0
3.738727246E2,6.506081077E1,2.546954633E1,1.815325679E1,1.516410828E0,2.670177612E2,2.033515930E0,3.000000000E0
3.748727036E2,6.506080970E1,2.546951527E1,1.819920557E1,1.512492418E0,2.698058167E2,2.048707962E0,3.000000000E0
3.758727466E2,6.506081057E1,2.546948371E1,1.818697338E1,1.509925365E0,2.707781372E2,2.025455236E0,3.000000000E0
3.768727546E2,6.506080904E1,2.546945421E1,1.834765173E1,1.499609590E0,2.727388306E2,2.019163370E0,3.000000000E0
3.778728066E2,6.506080980E1,2.546942211E1,1.843187557E1,1.498093724E0,2.701386414E2,2.051251173E0,3.000000000E0
3.788729626E2,6.506080601E1,2.546938764E1,1.860133399E1,1.508353949E0,2.696335144E2,2.051812172E0,3.000000000E0
3.798728296E2,6.506080363E1,2.546935956E1,1.878310360E1,1.493403673E0,2.714449463E2,1.968168497E0,3.000000000E0
3.808731346E2,6.506080189E1,2.546932705E1,1.899759982E1,1.494794607E0,2.713746338E2,1.970330238E0,3.000000000E0
3.818730416E2,6.506080047E1,2.546929264E1,1.908054206E1,1.502732515E0,2.747121582E2,2.037281752E0,3.000000000E0
3.828728906E2,6.506080328E1,2.546925698E1,1.923809915E1,1.516848326E0,2.727740173E2,2.041923285E0,3.000000000E0
3.838729466E2,6.506080476E1,2.546922211E1,1.922991542E1,1.524940014E0,2.719134521E2,2.108191490E0,3.000000000E0
3.848729306E2,6.506080354E1,2.546918947E1,1.935230046E1,1.524336934E0,2.707331238E2,2.076200485E0,3.000000000E0
3.858729676E2,6.506080087E1,2.546916093E1,1.960941367E1,1.510952353E0,2.735084229E2,2.034312487E0,3.000000000E0
3.868730566E2,6.506079995E1,2.546913807E1,1.990095505E1,1.477089167E0,2.712640076E2,2.031773806E0,3.000000000E0
3.878729906E2,6.506079981E1,2.546910795E1,2.006270406E1,1.471204281E0,2.680410767E2,2.028277397E0,3.000000000E0
3.888730606E2,6.506080257E1,2.546907008E1,1.999691102E1,1.495815516E0,2.659502869E2,2.041970730E0,3.000000000E0
3.898730076E2,6.506080458E1,2.546903529E1,1.989792623E1,1.506786346E0,2.680287476E2,2.047976255E0,3.000000000E0
3.908730406E2,6.506080752E1,2.546900138E1,1.968005336E1,1.515237689E0,2.679579773E2,2.070904732E0,3.000000000E0
3.918730366E2,6.506080591E1,2.546897135E1,1.961465397E1,1.507785320E0,2.702228699E2,2.057198286E0,3.000000000E0
3.928730516E2,6.506080697E1,2.546893199E1,1.953033829E1,1.533435822E0,2.716348267E2,2.135839462E0,3.000000000E0
3.938730976E2,6.506081017E1,2.546890528E1,1.931649791E1,1.513877392E0,2.741730957E2,2.174427986E0,3.000000000E0
3.948731026E2,6.506081782E1,2.546888138E1,1.908492276E1,1.502360821E0,2.778599854E2,2.202977180E0,3.000000000E0
3.958731456E2,6.506082052E1,2.546884444E1,1.887436864E1,1.518051147E0,2.715682068E2,2.330443621E0,3.000000000E0
3.968731446E2,6.506081794E1,2.546879900E1,1.895682286E1,1.561829925E0,2.741100159E2,2.295641899E0,3.000000000E0
3.978732036E2,6.506081393E1,2.546875963E1,1.903274662E1,1.583284974E0,2.750361633E2,2.172697067E0,3.000000000E0
3.988734956E2,6.506081635E1,2.546873740E1,1.895017875E1,1.540689349E0,2.796607361E2,2.219283581E0,3.000000000E0
3.998734356E2,6.506081840E1,2.546870910E1,1.882637581E1,1.522792220E0,2.772682190E2,2.210826874E0,3.000000000E0
4.008732426E2,6.506081534E1,2.546867646E1,1.881036812E1,1.523546934E0,2.760652771E2,2.001053572E0,3.000000000E0
4.018735356E2,6.506081635E1,2.546865018E1,1.887706174E1,1.500610113E0,2.738872681E2,1.999083638E0,3.000000000E0
4.028734656E2,6.506081683E1,2.546861064E1,1.886612386E1,1.527029514E0,2.710792236E2,2.099383831E0,3.000000000E0
4.038733256E2,6.506081644E1,2.546857867E1,1.880659536E1,1.524401426E0,2.739737244E2,2.143216133E0,3.000000000E0
4.048733496E2,6.506081672E1,2.546855205E1,1.880564268E1,1.501419544E0,2.704671936E2,2.091028214E0,3.000000000E0
4.058733606E2,6.506081502E1,2.546852144E1,1.885591676E1,1.496194601E0,2.635044556E2,2.098492622E0,3.000000000E0
4.068734386E2,6.506081349E1,2.546848725E1,1.903198167E1,1.505189657E0,2.652747803E2,2.221042395E0,3.000000000E0
4.078734186E2,6.506081377E1,2.546845663E1,1.926297144E1,1.501862288E0,2.664064636E2,2.272104740E0,3.000000000E0
4.088737156E2,6.506081262E1,2.546841991E1,1.949684103E1,1.520849466E0,2.700553284E2,2.275611401E0,3.000000000E0
4.098734586E2,6.506081466E1,2.546838487E1,1.967371903E1,1.533154964E0,2.714868469E2,2.297761917E0,3.000000000E0
4.108734726E2,6.506081470E1,2.546835429E1,1.992305042E1,1.525675535E0,2.763003845E2,2.194489956E0,3.000000000E0
4.118735046E2,6.506081421E1,2.546832221E1,2.012239405E1,1.523009062E0,2.756764221E2,2.192599535E0,3.000000000E0
4.128738646E2,6.506081604E1,2.546828892E1,1.996674273E1,1.525066972E0,2.753644104E2,2.208484173E0,3.000000000E0
4.138736936E2,6.506081952E1,2.546825493E1,1.983772251E1,1.531361341E0,2.746597900E2,2.128804684E0,3.000000000E0
4.148735556E2,6.506082351E1,2.546822012E1,1.968278187E1,1.542243481E0,2.739299316E2,2.140242338E0,3.000000000E0
4.158737456E2,6.506082738E1,2.546817615E1,1.943794134E1,1.584574223E0,2.727513428E2,2.093848944E0,3.000000000E0
4.168739866E2,6.506082848E1,2.546814441E1,1.914704044E1,1.578388810E0,2.695675354E2,2.139083862E0,3.000000000E0
4.178736176E2,6.506082755E1,2.546811460E1,1.890976482E1,1.565965533E0,2.774432678E2,2.162782431E0,3.000000000E0
4.188736806E2,6.506082822E1,2.546808334E1,1.859991017E1,1.558456779E0,2.759828186E2,2.166964769E0,3.000000000E0
4.198738526E2,6.506083101E1,2.546805408E1,1.833120194E1,1.547421217E0,2.712167664E2,2.252886534E0,3.000000000E0
